registration_no,name,company_name,country,region,city,address,latitude,longitude,geocode_confidence,geocode_formatted,primary_species,products,email,phone,website,status,verified,verification_level,admin_notes
KL1/ME/063/05,COCHIN FROZEN FOODS (MPEDA #KL1/ME/063/05),COCHIN FROZEN FOODS,India,Kerala,Alappuzha,"Arookutty Ferry Road, Aroor, Alappuzha 688534 Kerala",9.41667,76.5,1,"Alappuzha, India",,,dineshprabhakar93@yahoo.in,04782873271,wwwcochinfrozenfoods.in,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/063/05.
KL1/ME/466/22,FROSSET FOODS PRIVATE LIMITED (MPEDA #KL1/ME/466/22),FROSSET FOODS PRIVATE LIMITED,India,Kerala,MANAR CHANDIROOR,"9/453/B, MANAR CHANDIROOR 688537 Kerala",10.41667,76.5,1,"Kerala, India",,,frossetfoods@gmail.com,9809909599,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/466/22.
KL1/ME/431/20,FROSTA FROZEN FOODS PRIVATE LIMITED (MPEDA #KL1/ME/431/20),FROSTA FROZEN FOODS PRIVATE LIMITED,India,Kerala,XII/802 CHANDIROOR PO ERAMALLOOR,XII/802 CHANDIROOR PO ERAMALLOOR 688537 Kerala,9.7556,76.3278,7,"688537, Kerala, India",,,info@frostafrozenfoods.in,9846906666,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/431/20.
KL1/ME/415/19,GRAND MARINE EXIM (MPEDA #KL1/ME/415/19),GRAND MARINE EXIM,India,Kerala,16/65 AZHIKODE JETTY P O KODUNGALLUR,16/65 AZHIKODE JETTY P O KODUNGALLUR 680666 Kerala,10.2222,76.1992,7,"680666, Kerala, India",,,grandmarineexim786@gmail.com,04782875555,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/415/19.
KL1/ME/491/23,GREENLINE MARINE EXPORTS (MPEDA #KL1/ME/491/23),GREENLINE MARINE EXPORTS,India,Kerala,FORT KOCHI P.O,"1/724, PATTALAM ROAD, NEAR BISHOP HOUSE, FORT KOCHI P.O 682001 Kerala",10.41667,76.5,1,"Kerala, India",,,greenlinemarineexports@gmail.com,8891933984,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/491/23.
KL1/ME/491/23,GREENLINE MARINE EXPORTS (MPEDA #KL1/ME/491/23),GREENLINE MARINE EXPORTS,India,Kerala,FORT KOCHI P.O,"1/724, PATTALAM ROAD, NEAR BISHOP HOUSE, FORT KOCHI P.O 682001 Kerala",10.41667,76.5,1,"Kerala, India",,,greenlinemarineexports@gmail.com,8891933984,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/491/23.
KL1/ME/297/13,HEIPLOEG SEAFOOD INDIA PVT.LTD (MPEDA #KL1/ME/297/13),HEIPLOEG SEAFOOD INDIA PVT.LTD,India,Kerala,Mullassery Canal Road Cochin,"Kay kay House 39/116, Mullassery Canal Road Cochin 682011 Kerala",9.9671,76.2904,7,"682011, Kerala, India",,,vivek@heiploeg.in,04844082777,www.heiploeg.com,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/297/13.
KL1/ME/495/23,IAN OVERSEAS PRIVATE LIMITED (MPEDA #KL1/ME/495/23),IAN OVERSEAS PRIVATE LIMITED,India,Kerala,Ernakulam Dist,"Building No. XVII/259A, Marady Muvattupuzha P.O., Muvattupuzha, Ernakulam Dist Kerala",10.41667,76.5,1,"Kerala, India",,,ianoverseas2002@gmail.com,9074424664,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/495/23.
KL1/ME/341/15,INTERGROW BRANDS PRIVATE LIMITED (MPEDA #KL1/ME/341/15),INTERGROW BRANDS PRIVATE LIMITED,India,Kerala,AJAY VIHAR M G ROAD ERNAKULAM,"62/1814 A, AJAY VIHAR M G ROAD ERNAKULAM 682016 Kerala",9.9671,76.3031,7,"682016, Kerala, India",,,pramodkr@intergrowfoods.com,04843012222,www.ktchentreasures.com,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/341/15.
KL1/ME/512/23,J & T EXPORTS (MPEDA #KL1/ME/512/23),J & T EXPORTS,India,Kerala,,,10.41667,76.5,1,"Kerala, India",,,info@jandtinternational.com,04844062901,www.jandtinternational.com,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/512/23.
KL1/ME/536/25,JACOB AND RICHARD INTERNATIONAL PRIVATE LIMITED (MPEDA #KL1/ME/536/25),JACOB AND RICHARD INTERNATIONAL PRIVATE LIMITED,India,Kerala,X/233A AERATH BUILDING KADANAD P.O,X/233A AERATH BUILDING KADANAD P.O. 686653 Kerala,11.5103,76.8286,7,"686653, Kerala, India",,,viswasfoods@gmail.com,9061002777,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/536/25.
KL1/ME/447/21,JNG EXPORTS (MPEDA #KL1/ME/447/21),JNG EXPORTS,India,Kerala,KOCHI,"29/220, BETHEL, PADATH LANE, JANATHA ROAD, VYTTILA, KOCHI 682019 Kerala",9.93988,76.26022,4,"Kochi, Ernākulam, India",,,jngexports@gmail.com,9447073310,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/447/21.
KL1/ME/469/22,K B EXPORT & IMPORT (MPEDA #KL1/ME/469/22),K B EXPORT & IMPORT,India,Kerala,Malappuram,"5/494-A, K B Tower, Alparambu Road Kumminiparamba P.O, Near Calicut Airport Karippur, Kondotty, Malappuram 673638 Kerala",11.1423,75.9657,7,"673638, Kerala, India",,,kbexports1@gmail.com,9946106530,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/469/22.
KL1/ME/482/22,KAIRALI SEA FOODS (MPEDA #KL1/ME/482/22),KAIRALI SEA FOODS,India,Kerala,ALAPPUZHA,"10/398, THOTTAPPALLY, PURAKKAD, ALAPPUZHA 688561 Kerala",9.4,76.3667,7,"688561, Kerala, India",,,niyaspandan@gmail.com,8078522777,kairaliseafoods.com,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/482/22.
KL1/ME/387/18,KINGS INFRA VENTURES LTD (MPEDA #KL1/ME/387/18),KINGS INFRA VENTURES LTD,India,Kerala,Cochin,"14 B, 14th Floor, The Atria Opposite Gurudwara Temple Thevara, Cochin 682015 Kerala",9.93988,76.26022,4,"Kochi, Ernākulam, India",,,info@kingsinfra.com,04844865823,www.kingsinfra.com,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/387/18.
KL1/ME/441/20,KYOBASHI PREMIER FREEZE DRY PRIVATE LIMITED (MPEDA #KL1/ME/441/20),KYOBASHI PREMIER FREEZE DRY PRIVATE LIMITED,India,Kerala,AROOR,"22/601 A INDUSTRIAL ESTATE AROOR, AROOR 688534 Kerala",9.7556,76.3278,7,"688534, Kerala, India",,,kpfdltd@gmail.com,9447044963,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/441/20.
KL1/ME/509/23,LEE MARINE EXPORTS (MPEDA #KL1/ME/509/23),LEE MARINE EXPORTS,India,Kerala,CHANDIROOR,"AP IX 418 B, NEAR ST.MARYS CHURCH, MLA ROAD, CHANDIROOR 688537 Kerala",9.8389898,76.3092429,7,"Alappuzha, Chandiroor - 688537, Kerala, India",,,leemarineexports@gmail.com,9846732490,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/509/23.
KL1/ME/510/23,M/S CITIZEN GROUP (MPEDA #KL1/ME/510/23),M/S CITIZEN GROUP,India,Kerala,VP VI/870 CITIZEN BUILDING VIZHINJAM,VP VI/870 CITIZEN BUILDING VIZHINJAM 695521 Kerala,8.3828,76.9889,7,"695521, Kerala, India",,,citizengroupseafood@gmail.com,9995363497,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/510/23.
KL1/ME/456/21,M/S. SAFA ENTERPRISES (MPEDA #KL1/ME/456/21),M/S. SAFA ENTERPRISES,India,Kerala,Kodungallur,"16/65 Azhikode Jetty P.O., Kodungallur, 680666 Kerala",10.2222,76.1992,7,"680666, Kerala, India",,,safaenterprises555@gmail.com,9895759209,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/456/21.
KL1/ME/347/15,M/S.RSA MARINES (MPEDA #KL1/ME/347/15),M/S.RSA MARINES,India,Kerala,S N KAVALA NEERKUNNAM VANDANAM P O ALAPPUZHA,"15/274, S N KAVALA NEERKUNNAM VANDANAM P O ALAPPUZHA 688005 Kerala",9.41667,76.5,1,"Alappuzha, India",,,sales@rsamarines.com,9447740777,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/347/15.
KL1/ME/363/16,MANJILAS FOOD TECH PVT LTD (MPEDA #KL1/ME/363/16),MANJILAS FOOD TECH PVT LTD,India,Kerala,NELLIKUNNU,"SASTHRI ROAD, NELLIKUNNU, 680005 Kerala",8.371,77.0028,7,"680005, Kerala, India",,,vks@manjilas.com,04872440113,www.manjilas.com,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/363/16.
KL1/ME/538/25,MARITERRO FOOD SOLUTIONS PRIVATE LIMITED (MPEDA #KL1/ME/538/25),MARITERRO FOOD SOLUTIONS PRIVATE LIMITED,India,Kerala,KAMALA VARMA BUILDING KOCHI M.G. ROAD,"2ND FLOOR, KAMALA VARMA BUILDING KOCHI M.G. ROAD 682016 Kerala",9.9671,76.3031,7,"682016, Kerala, India",,,info@mariterro.com,9620192324,www.mariterro.com,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/538/25.
KL1/ME/274/11,MARWA SEA FOODS (MPEDA #KL1/ME/274/11),MARWA SEA FOODS,India,Kerala,KODUNGALLUR THRISSUR,"IV/622A, LIGHT HOUSE JUNCTION AZHIKODE P.O, KODUNGALLUR THRISSUR 680666 Kerala",10.2222,76.1992,7,"680666, Kerala, India",,,marwaseafoods786@gmail.com,9645933555,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/274/11.
KL1/ME/532/25,MATEY TIDES SEAFOOD LLP (MPEDA #KL1/ME/532/25),MATEY TIDES SEAFOOD LLP,India,Kerala,VENNALA,"DOOR No. 2289/42, ROOM 1 FIRST FLOOR, KNRA 17, BEHIND EMC MAHILASAMAJAM ROAD, VENNALA 682028 Kerala",9.9935662,76.3265001,9,"Vennala, Vennala High School Road, Ernakulam, Ernakulam - 682028, Kerala, India",,,sashajohnson@mateytidesseafood.com,9846574043,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/532/25.
KL1/ME/546/26,NANDHANA SEA FOODS (MPEDA #KL1/ME/546/26),NANDHANA SEA FOODS,India,Kerala,XVI/53D PULLUT KODUNGALLUR,XVI/53D PULLUT KODUNGALLUR 680663 Kerala,10.2222,76.1992,7,"680663, Kerala, India",,,nandhanaseafoods@gmail.com,9074298590,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/546/26.
KL1/ME/419/19,NEW MOON GLOBAL SERVICES (MPEDA #KL1/ME/419/19),NEW MOON GLOBAL SERVICES,India,Kerala,KOCHI,"No.30/173 OLD No.25/138A WILLINGTON ISLAND, SOUTH MATSYAPURI, KOCHI 682029 Kerala",9.93988,76.26022,4,"Kochi, Ernākulam, India",,,newmoongs@gmail.com,9995393736,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/419/19.
KL1/ME/498/23,NPM ASSOCIATES (MPEDA #KL1/ME/498/23),NPM ASSOCIATES,India,Kerala,,,10.41667,76.5,1,"Kerala, India",,,npmassociates2023@gmail.com,9048000031,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/498/23.
KL1/ME/543/25,OPTIMUS MARINE FOODS (MPEDA #KL1/ME/543/25),OPTIMUS MARINE FOODS,India,Kerala,KOCHI,"54/2958, MUTTATHIL LANE THACHAPILLIL, KOCHI 682020 Kerala",10.0243,76.3053,7,"682020, Kerala, India",,,hansonhp@gmail.com,07994473454,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/543/25.
KL1/ME/089/05,ORCHID MARINE (MPEDA #KL1/ME/089/05),ORCHID MARINE,India,Kerala,Chandiroor Pin - 688 547,"Anwar Palace, Chandiroor Pin - 688 547 688547 Kerala",10.41667,76.5,1,"Kerala, India",,,orchidmarinexim@gmail.com,04782873237,orchidmarine.com,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/089/05.
KL1/ME/470/22,OZEAN MARINE EXPORTS PRIVATE LIMITED (MPEDA #KL1/ME/470/22),OZEAN MARINE EXPORTS PRIVATE LIMITED,India,Kerala,KOCHI,"55/853A, G-66, ELDERS FORUM ROAD, PANAMPILLY NAGAR, KOCHI 682036 Kerala",9.9746,76.293,7,"682036, Kerala, India",Cuttlefish|Grouper|Mackerel|Octopus|Shrimp|Squid|Tuna,"Frozen:Fish Wild(FROZEN SKIP JACK TUNA,FROZEN YELLOW FIN TUNA,FROZEN FISH CUBES, FILLETS, PORTIONS,FROZEN TUNA LOINS, SLICE,FROZEN MAHI MAHI, FROZEN GROUPER,FROZEN SWORD FISH,FROZEN INDIAN MACKEREL WHOLE,FROZEN INDIAN MACKEREL GUTTED,FROZEN EMPEROR,FROZEN INDIAN MACKEREL WHOLE IF,FROZEN RIBBONFISH WHOLE,FROZEN RIBBONFISH IWP) Frozen:Shrimp Wild(FROZEN SEA CAUGHT PUD SHRIMPS,FROZEN SEA CAUGHT SHRIMPS IF,FROZEN SEA CAUGHT SHRIMPS BLOCK) Frozen:Shrimp Aquaculture(FROZEN VANNAMEI SHRIPS IF,FROZEN VANNAMEI SHRIMPS BLOCK,FROZEN VANNAMEI SHRIMPS PD PUD PVPD) Frozen:Cuttlefish(FROZEN CUTTLEFISH WHOLE,FROZEN CUTTLEFISH WHOLE CLEANED BLOCK AND IF) Frozen:Squid(FROZEN SQUID RINGS IF,FROZEN SQUID TUBE AND TENTACLES) Frozen:Octopus(FROZEN OCTOPUS WHOLE BLCOK,FROZEN OCTOPUS WHOLE CLEANED)",ozeanmarine1@gmail.com,9048544444,https://ozeanmarine.com,approved,true,documentation_verified,"MPEDA registered exporter #KL1/ME/470/22. Products: Frozen:Fish Wild(FROZEN SKIP JACK TUNA,FROZEN YELLOW FIN TUNA,FROZEN FISH CUBES, FILLETS, PORTIONS,FROZEN TUNA LOINS, SLICE,FROZEN MAHI MAHI, FROZEN G...."
KL1/ME/545/26,PAM INDIA MARINES LLP (MPEDA #KL1/ME/545/26),PAM INDIA MARINES LLP,India,Kerala,SAKTHIKULANGARA,"COMPANYKADAYIL BUILDINGS PORT ROAD, SAKTHIKULANGARA 691581 Kerala",8.9917,76.525,7,"691581, Kerala, India",,,pamindiamarines@gmail.com,9387944455,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/545/26.
KL1/ME/525/25,PEARL AQUA MARINE PRIVATE LIMITED (MPEDA #KL1/ME/525/25),PEARL AQUA MARINE PRIVATE LIMITED,India,Kerala,KUZHIVELIPPADY,"1ST FLOOR, A SQUARE 14/291 H, SUITE 85N EDAPPALLY PUKKATTUPADY ROAD, KUZHIVELIPPADY 683561 Kerala",10.0492144,76.3719935,9,"Kuzhivelippady, Edappally-Pukkattupady Road, Ernakulam, Pukkattupady - 683564, Kerala, India",,,pearlaquamarinepvtltd@gmail.com,0000000,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/525/25.
KL1/ME/105/05,PEARL COAST MARINE FOODS (MPEDA #KL1/ME/105/05),PEARL COAST MARINE FOODS,India,Kerala,Chandiroor Alappuzha/,"APX/763F, Chandiroor Alappuzha/Kerala 688547 Kerala",9.41667,76.5,1,"Alappuzha, India",Shrimp|Squid,"Frozen:Fish Wild(FROZEN RIBBONFISH WHOLE ROUND,FROZEN RIBBONFISH) Frozen:Shrimp Aquaculture(FROZEN HEADLESS SHELL ON VANNAMEI SHRIMPS,FROZEN HEADLESS SHELL ON VANNAMEI SHRIMP) Frozen:Squid(FROZEN LOLIGO SQUID WHOLE,FROZEN SQUID WHOLE ROUND,FROZEN SQUID WHOLE LOLIGO,FROZEN SQUID WHOLE CLEANED,FROZEN SQUID WHOLE)",pearlcoastmarinefoods@gmail.com,04782873388,,approved,true,documentation_verified,"MPEDA registered exporter #KL1/ME/105/05. Products: Frozen:Fish Wild(FROZEN RIBBONFISH WHOLE ROUND,FROZEN RIBBONFISH) Frozen:Shrimp Aquaculture(FROZEN HEADLESS SHELL ON VANNAMEI SHRIMPS,FROZEN HEADLESS ...."
KL1/ME/082/05,PIONEER IMPEX (MPEDA #KL1/ME/082/05),PIONEER IMPEX,India,Kerala,KA 14/397 G Kannothumchal Kannur,KA 14/397 G Kannothumchal Kannur 670006 Kerala,11.8773,75.3712,7,"670006, Kerala, India",,,pioneerimpexind@gmail.com,0497-2708936,www.impexkannur.com,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/082/05.
KL1/ME/418/19,PRAYAG EXPORTS (MPEDA #KL1/ME/418/19),PRAYAG EXPORTS,India,Kerala,CHANDIROOR ALAPPUZHA DISTRICT,"AP XII/157 CHANDIROOR P.O., CHANDIROOR ALAPPUZHA DISTRICT 688537 Kerala",9.41667,76.5,1,"Alappuzha, India",,,prayagseafoods@gmail.com,9846016039,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/418/19.
KL1/ME/385/17,RAFA EXPORTS (MPEDA #KL1/ME/385/17),RAFA EXPORTS,India,Kerala,COLLEGE ROAD PANAYAPALLY COCHIN,"12/23, COLLEGE ROAD PANAYAPALLY COCHIN 682002 Kerala",9.9399,76.2602,7,"682002, Kerala, India",,,sadhaam@gmail.com,9846071111,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/385/17.
KL1/ME/210/08,ROSHAN FOODS PVT LTD (MPEDA #KL1/ME/210/08),ROSHAN FOODS PVT LTD,India,Kerala,Kochi,"16/1738A Jetty Road Edacochi, Kochi 682010 Kerala",9.9671,76.3031,7,"682010, Kerala, India",,,info@roshanfoods.com,2327752,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/210/08.
KL1/ME/383/17,ROYAL MARINE EXPORTS (MPEDA #KL1/ME/383/17),ROYAL MARINE EXPORTS,India,Kerala,ALAPPUZHA DISTRICT,"9/143M, RGs BUILDING NEAR GOVT. HIGH SCHOOL CHANDIROOR, ALAPPUZHA DISTRICT 688537 Kerala",9.41667,76.5,1,"Alappuzha, India",,,royalmarineexports@gmail.com,9387221434,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/383/17.
KL1/ME/439/20,SAIT EXIM COMPANY (MPEDA #KL1/ME/439/20),SAIT EXIM COMPANY,India,Kerala,Karuvelipady Cochin,"13/829, Vikas Road, Karuvelipady Cochin - 680005 682005 Kerala",8.371,77.0028,7,"680005, Kerala, India",Cuttlefish|Grouper|Mackerel|Octopus|Ribbon Fish|Shrimp|Snapper|Squid|Tuna,"Frozen:Fish Wild(FROZEN TUNA WHOLE ROUND,FROZEN TUNA WHOLE,FROZEN SWORD FISH,FROZEN SAIL FISH,FROZEN RIBBON FISH,FROZEN MACKEREL WHOLE ROUND,FROZEN SNAPPER FISH,FROZEN GROUPER FISH,FROZEN LEATHER JACKET FISH,FROZEN EMPEROR FISH,FROZEN MARLIN FISH) Frozen:Shrimp Wild(FROZEN THELLY SHRIMPS,FROZEN PUD SHRIMPS,FROZEN PD SHRIMPS,FROZEN KARIKKADI SHRIMPS,FROZEN POOVALAN SHRIMPS) Frozen:Cuttlefish(FROZEN CUTTLE FISH WHOLE CLEANED,FROZEN CUTTLE FISH WHOLE) Frozen:Squid(FROZEN SQUID WHOLE CLEANED,FROZEN SQUID WHOLE,FROZEN SQUID TUBE AND TENTACLES,FROZEN SQUID TUBES) Frozen:Octopus(FROZEN OCTOPUS WHOLE,FROZEN OCTOPUS WHOLE CLEANED,FROZEN OCTOPUS LONG ARMS,FROZEN OCTOPUS SHORT ARMS)",docsaitexim@gmail.com,9447123450,,approved,true,documentation_verified,"MPEDA registered exporter #KL1/ME/439/20. Products: Frozen:Fish Wild(FROZEN TUNA WHOLE ROUND,FROZEN TUNA WHOLE,FROZEN SWORD FISH,FROZEN SAIL FISH,FROZEN RIBBON FISH,FROZEN MACKEREL WHOLE ROUND,FROZEN SN...."
KL1/ME/507/23,SANCHARY MARINE PRODUCTS AND TRANSPORTERS PRIVATE LIMITED (MPEDA #KL1/ME/507/23),SANCHARY MARINE PRODUCTS AND TRANSPORTERS PRIVATE LIMITED,India,Kerala,,,10.41667,76.5,1,"Kerala, India",,,info@sancharymarine.com,9349963598,,approved,true,documentation_verified,MPEDA registered exporter #KL1/ME/507/23.
