eic_approval_no,eic_plant_name,eic_address,mpeda_registration_no,mpeda_firm_name,mpeda_address,mpeda_email,mpeda_phone,mpeda_mobile,mpeda_website,mpeda_products,match_type
1129,Hejazi Foodstuff Pvt. Ltd.,"PLOT NO. M-62 & M-62 PART, MIDC INDUSTRIAL   AREA,  TALOJA, DIST- RAIGAD-410208,   MAHARASHTRA, INDIA",MA1/MT/207/10,HEJAZI FOODSTUFF PVT. LTD.,"634, COMMODITY EXCHANGE BUILDING, SECTOR-19/A, VASHI, NAVI MUMBAI 400705 Maharashtra",hejazifoodstuff@gmail.com,02227840132,9821499678,nan,"Frozen:Fish Wild(INDIAN MACKEREL(RASTRELLIGER KANAGURTA),CROAKER FISH(JOHNIEUS SPP),RIBBON FISH(LEPTURACANTHUS SAVALA),BOMBAY DUCK(HARPADON NEHREUS),REEF COD(EPINEPHELUS SPP),SILVER POMFRET(PAMPUS ARGENTEUS),BLACK POMFRET(PARASTROMATEUS NIGER),TILAPIA(OREOCHROMIS SPP),BOAL(WALLAGO ATTU),AYER(MYSTUS AOR),PABDA(OMPOK PABDA),TENGRA(MYSTUS SPP.),ROHU(LABEO ROHITA)) Frozen:Shrimp Wild(HON,HL,PUD, PD SHRIMPS(PENAEUS SP, METAPENAEUS SP),HON,HL,PUD, PD SHRIMPS(PARAPENAEOPSIS STYLIFERA))) Frozen:Shrimp Aquaculture(HON,HL,PUD, PD SHRIMPS (LITOPENAEUS VANNAMEI),HON,HL,PUD, PD SHRIMPS(PENAEUS MONODON)) Frozen:Squid(SQUID WHOLE, WHOLE CLEANED(LOLIGO SP),SQUID TUBE, TENTACLES(LOLIGO SP),CUT SQUID, SQWC(UROTEUTHIS DUVAUCELII),SQUID WHOLE (UROTEUTHIS DUVAUCELII)) Frozen:Octopus(OCTOPUS (OCTOPUS MEMBRANACEOUS SPP)) Frozen:Lobster(LOBSTER (PANULIRUS SPP)) Chilled:Fish Wild(INDIAN MACKEREL(RASTRELLIGER KANAGURTA),CROAKER FISH(JOHNIEUS SPP),RIBBON FISH(LEPTURACANTHUS SAVALA),BOMBAY DUCK(HARPADON NEHREUS),REEF COD(EPINEPHELUS SPP),SILVER POMFRET(PAMPUS ARGENTEUS),BLACK POMFRET(PARASTROMATEUS NIGER),THREAD FIN FISH(LEPTOMELANOSOMA INDICUS),THREAD FIN BREAM(NEMIPTERUS SP),AYER(MYSTUS AOR),PABDA(OMPOK PABDA),TENGRA(MYSTUS SPP.),ROHU(LABEO ROHITA),BAMI(EEL)(ANGUILLA SP),HILSA(TENUOLOSA ILLISHA),GHOL(PROTONEBEA DICANTHUS),CHINESE POMFRET(PUMPUS CHINENSIS),SNAPPER(LUJJANUS SP),CAT FISH(PLICOFOLIS SP),INDIAN SALMON(E. TETRADUCTYLUM),SEER FISH(SCOMBEROMORUS SP),MULLET(MUGIL CEPHALUS),LADY FISH(SILAGO SIHAMA),TUNA(THUNNUS SP),PARROT FISH(SCARUS SP),WHITE FISH(LACTARIUS LACTARIUS),WOLF HERRING(CHIROCENTRUS DORAB),ANCHOVY(COILIA SP)) Chilled:Squid(SQUID WHOLE, (LOLIGO SP),SQUID WHOLE, (UROTEUTHIS SP)) Chilled:Crab(CRAB(PORTUNUS SPP))",name_only
1130,KARUNYA MARINE EXPORTS PVT. LTD.,"Survey No.42, Hissa No. 1 & 2, Rahatagar, Peth Killa, Ratnagiri-415612, Maharashtra,  India",,,,,,,,,no_match
1131,TEJAL SEA FOODS,"SUPER GAS ROAD, JAWAR NAKA PORBANDAR-360575, GUJARAT, INDIA",,,,,,,,,no_match
1132,Vasai Frozen Foods.,"Poman Village, Near Kaman, Vasai Bhiwandi Road, Tal-Vasai, Dist-Thane, Mumbai-401208, Maharashtra, India",,,,,,,,,no_match
1133,Shree Datt Aquaculture Farms Pvt. Ltd.,"At & Post Talodh, Bilimora Taluka, Gandevi, Dist. Navsari Piin-396321, Gujarat, India",,,,,,,,,no_match
1139,West Coast Frozen Foods Private Limited,"Plot No. 322,323,Village- Orma, Olpad , Surat-394540 ,Gujarat, India.",MA1/MT/180/09,WEST COAST FROZEN FOODS PRIVATE LIMITED,"321, 322, 323, Olpad Saras Road, Orma, Olpad, 394540 Gujarat",saravana.n@westcoast.in,9833920998,8511120329,www.westcoast.in,"Frozen:Shrimp Aquaculture(Vannamei Shrimps,Frozen Raw Head On Shell On Vannamei Shrimps-Brine,Frozen Raw PD Tail Off Vannamei Shrimps-IQF,Frozen Raw HOSO Black Tiger Shrimps,FROZEN RAW HEAD ON SHELL ON BLACK TIGER SHRIMP,FROZEN BLANCHED PEELED & DEVEINED VANNAMEI SHRIMP,Frozen Raw Head Less Shell On Black Tiger Shrimps,Frozen Raw Peeled Deveined Tail On Vannamei Shrimp,Frozen Raw Head On Shell On Vannamei Shrimps,RAW FROZEN HEAD ON SHELL ON BLACK TIGER SHRIMP,FROZEN RAW BLACK TIGER SHRIMP,FROZEN SHRIMPS HEAD,FROZEN RAW PEELED DEVEINED VANNAMEI SHRIMPS - IQF,FROZEN RAW HLSO EASY PEEL VANNAMEI SHRIMPS-IQF,FROZEN RAW HOSO BLACK TIGER SHRIMPS (CQ) SEMI IQF,FROZEN RAW PD TAIL OFF BLACK TIGER SHRIMPS, IQF,FROZEN RAW HOSO BLACK TIGER SHRIMPS, IQF,FROZEN RAW PD TAIL ON VANNAMEI SHRIMPS,Frozen Raw Head On Shell On Black Tiger Shrimps-G1)",name_only
1142,KAN VICTUAL PVT. LTD.,"R/S. No. 796, Paiki, All Weather Port Road, Bokhira, Porbandar, Gujarat-360575",GU3/MT/010/15,KAN VICTUAL PVT LTD,"All Weather Port Road, Bokhira, PORBANDAR 360575 Gujarat",kanfoodsexp@gmail.com,02866451092,9227731315,nan,"Frozen:Fish Wild(FROZEN SURIMI LIKE ITOYORI, ESO, MIX FISH etc.,FROZEN FIN FISH LIKE RIBBON, CROAKER, SOLE, ETC,FROZEN FIN FISH LIKE MAKEREL, SEER FISH,TUNA ETC) Frozen:Shrimp Wild(FROZEN SHRIMPS LIKE TINY, BROWN, WHITE, FLOWER ETC) Frozen:Cuttlefish(FROZEN /IQF CUTTLEFISH WHOLE,FROZEN /IQF CUTTLEFISH WHOLE CLEANED,FROZEN/ IQF CUTTLEFISH TENTECLES,FROZEN/IQF CUTTLEFISH FILLET) Frozen:Squid(FROZEN /IQF SQUID WHOLE,FROZEN IQF SQUID WHOLE CLEANED,FROZEN/ IQF SQUID TENTECLES,FROZEN /IQF SQUID RING)",name_only
1148,Keshodwala Foods (Unit - II),"Plot No. 306, G.I.D.C Estate, Veraval, 362269, Gujarat, India",,,,,,,,,no_match
1150,New Faizan Foods,"Plot No.301 G.I.D.C. Estate Behind Association Hall, Veraval
- 362269, Gujarat, India,",GU1/MT/213/12,NEW FAIZAN FOODS,"Plot No 301,GIDC Estate Behind the Veraval Industries Association Veraval 362269 Gujarat",newfaizan@gmail.com,9227535505,9227535505,nan,"Frozen:Fish Wild(FROZEN KOOTH FISH HGT/ FIILET,FROZEN GROUPER FISH WHOLE, H/ON GTD, FILLET,,FROZEN MAHI MAHI FISH HGT/ FIILET,FROZEN LEATHER JAKET FILLET,FROZEN RIBBON FISH,,FROZEN CROAKER FISH,FROZEN AMBERJACK FILLET,FROZEN CRIMSON SNAPPER FISH FILLET,,FROZEN YELLOWTAIL,FROZEN BULLEYE FISH,FROZEN HILSHA FISH,FROZEN SOLE FISH,FROZEN SILVER POMFRET FISH,FROZEN CHINESE POMFRET FISH,FROZEN CORVINA (GHOL) FISH HGT/ FILLET) Frozen:Shrimp Wild(FROZEN SURAJBARI SHRIMS HLSO/ PUD,FROZEN KARIKADI SHRIMPS HLSO, PUD, PD) Frozen:Cuttlefish(CUTTLE FISH WHOLE, WHOLE CLEANED) Frozen:Squid(FROZEN SQUID WHOLE,SQUID WHOLE CLEANED,FROZEN CUT SQUID IQF,FROZEN SQUID RINGS,FROZEN SQUID TUBE,FROZEN SQUID RING WITH TENTACLES,FROZEN BABY SQUID PIN BONE OUT) Frozen:Octopus(FROZEN OCTOPUS WHOL,E CLEANED) Frozen:Lobster(FROZEN LOBSTER WHOLE ROUND)",name_only
1153,SILVER STAR EXPORTS,"Javar Village, Porbandar - 360575, Gujarat, India",GU3/MT/012/15,SILVER STAR EXPORTS,"Jawar Naka, PORBANDAR. 360575 Gujarat",silverseafood1@gmail.com,02862241819,9824498362,nan,"Frozen:Fish Wild(Silver Pomfret,Chinese Pomfret,Black Pomfret,Croaker,Snapper,Solefish,Kingfish,Seabream,Ribbonfish,Kingfish Steak,Leather Jacket) Frozen:Cuttlefish(Cuttlefish Whole,Cuttlefish Whole Cleaned,Cuttlefish Fillet,Cuttlefish Tentacle,Cuttlefish Roe,Cuttlefish Tray) Frozen:Squid(Squid Whole,Squid Whole Cleaned IF/Block,Squid Whole Tray,Squid Whole Cleaned Tray,Squid Whole Cut IF,Squid Tube/Tentacles,Squid Stuffed IF) Frozen:Octopus(Octopus Whole,Octopus Whole Cleaned IF/Block,Octopus Cleaned Tray,Octopus Cut IF)",name_only
1156,Sun Exports.,"Plot No. 1313, GIDC Estate, Veraval-362269, Gujarat.,",GU1/MT/265/14,SUN EXPORTS,"Plot No 1313, GIDC Estate Veraval 362269 Gujarat",labsunexports@gmail.com,02876232300,9227531803,nan,"Frozen:Fish Wild(HISTAMINE FORMING FISHES,NON- HISTAMINE FORMING FISHES) Frozen:Shrimp Wild((PUD, P & D, Head on, Headless, HL/TL)) Frozen:Cuttlefish((Whole, Whole Cleaned, Strips, Tentacles)) Frozen:Squid((Whole, Whole Cleaned, Tube, Strips, Fillet,,Rings, Tentacles, Wings)) Frozen:Octopus((Whole, Whole cleaned, Gutted, Chopped))",name_address
1158,NILESH SEA FOODS,"Plot No.214,Vanana,G.I.D.C.Estate,Taluka Ranavav,Porbandar-360575,Gujarat,India",GU3/MT/013/15,NILESH SEA FOODS,"Opp. Birlas Villa, Chowpati Road, PORBANDAR. 360575 Gujarat",nileshseafoods@gmail.com,02862213192,9377795191,nan,"Frozen:Fish Wild(Ribbon fish, silver pomfret, croaker,snaper whole, king fish whole,sea bream,INDIAN MACKEREL,HORSE MACKEREL,BOMBAY DUCK,SILVER CROAKER,YELLOW CROAKER,SEER FISH,TUNA,TILAPIA) Frozen:Cuttlefish(CUTTLE FISH WHOLE,CUTTLE FISH WHOLE CLEANED,CUTTLE FISH TRAY PACK) Frozen:Squid(SQUID WHOLE,SQUID WHOLE CLEANED,CUT SQUID,BABY SQUID TRAY PACK) Frozen:Octopus(OCTOPUS) Frozen:Crab(BLUE SWIMMING CRAB)",name_only
1163,J. M. Marine Exports,"R.S.No.1798/1, Paikey,s Near GIDC Udyog Nagar, Patan Road, Veraval-362269. Gujarat, India,",GU1/MT/181/11,J. M. MARINE EXPORTS,"R.S. NO.1798/1 NEAR GIDC UDHYOG NAGAR PATAN ROAD, VERAVAL , GIR SOMNATH 362269 Gujarat",jmmarinedocument@gmail.com,9426206584,9924695783,www.jmmarineexports.com,"Frozen:Fish Wild(FROZEN CUTTLEFISH WHOLE AND WHOLE CLEANED IQF,FROZEN SQUID WHOLE AND WHOLE CLEANED, IQF,FROZEN RIBBONFISH AND LEATHER JACKET,FROZEN SQUID(TRAY PACK, CUT SQUID, RINGS, TENTACLE,CUTTLEFISH TRAY PACK STRIPS,,FROZEN YELLOW AND SILVER CROCKER,FROZEN INDIAN MACKREL AND HORSE MACKREL,FROZEN REEF COD) Frozen:Cuttlefish(FROZEN CUTTLEFISH WHOLE CLEANED, IQF)",name_only
1164,"Pesca Marine Products Pvt.Ltd.,","Plot No. 407 / 410 , GIDC Estate, Veraval-362269, Gujarat-India.,",MA1/MT/226/11,PESCA MARINE PRODUCTS PVT. LTD.,"SURVEY NO.1943, MANGALKUNJ, RAILWAY STATION ROAD OPP.BALASHRAM, PORBANDAR 360575 Gujarat",pesca.hiravati@gmail.com,9879617761,9924112796,nan,nan,name_only
1165,Sanchita Frozen Foods Pvt. Ltd.,"Plot No. M – 7A, MIDC Industrial Area, Taloja, Raigad District, Maharashtra – 410208, India",MA1/MT/135/07,"SANCHITA FROZEN FOODS PVT.LTD.,","Office No. 607, 6th Floor, NMS Titanium, Plot No. 74, Sector – 15, CBD Belapur Navi Mumbai, Thane 400614 Maharashtra",qc.sanchita@gmail.com,20875454,9867522266,www.sanchitamarineproducts.com,"Frozen:Fish Wild(FROZEN INDIAN MACKEREL WHOLE(RASTRELLIGER KANGURTA,FROZEN COAKER FISH( JOHNIUS DUSSUMIERI),FROZEN RIBBON FISH(LEPTURACANTHUS SAVALA),FROZEN LEATHER JACKET WHOLE(ALUTERUS MONOCEROS),FROZEN LEATHER HGT (ALUTERUS MONOCEROS),FROZEN CHINESE POMFRET WHOLE( PAMPUS CHINENSIS),FROZEN SILVER POMFRET WHOLE( PAMPUS ARGENTEUS),FROZEN HORSE MACKEREL WHOLE ( MEGALASPIS CORDYLA)) Frozen:Shrimp Wild(FROZEN PENAEUS SPP(H/ON/HL/PUD/PD/PUDTO/PDTO,FROZEN METAPENAEUS SPP(H/ON/HL/PUD/PD/PDTO/PUDTO),FROZEN PARAPENEOPSIS STYLIFERA( H/ON, PUD, PD, HL,,FROZEN MACROBRACHIUM ROSENBERGII(H/ON/HL)) Frozen:Shrimp Aquaculture(FROZEN LITOPENAEUS VANNAMEI (H/ON/HL/PD/PUD/PDTO/P,FROZEN PENAEUS MONODON(H/ON/HL/PUD/PD/PUDTO/PDTO)) Frozen:Cuttlefish(F/ SEPIA PHARAONIS (CFW/CFWC/CFSTRIPS/CFTN)) Frozen:Squid(F/LOLIGO SPP( SQW/ SQWC/SQSTRIPS/ SQTN/SQRG/CUTSQU,F/LOLIGO DUVAUCELI(QW/ SQWC/SQSTRIPS/ SQTN/SQRG/CU,F/UROTEUTHIS DUVAUCELII SQW/ SQWC/SQSTRIPS/ SQTN/S)",name_only
1166,Amar Aquatic (A Unit of Amar Polyfils Pvt. Ltd.),"Survey No. 62, Village Vanana, Porbandar-360550, Gujarat, India.",GU3/MT/002/15,AMAR AQUATIC (A UNIT OF AMAR POLYFILS PVT.LTD),"Survey No.62 Village Vanana, PORBANDAR 360550 Gujarat",info@amaraquatic.in,02862222440,9825214541,nan,Others-Edible:Fish Collagen Peptide(Fish Gelatinr),name_only
1168,"Dolphin Marine Foods & Processors (India) Pvt. Ltd.,","PLOT No.M-13, MIDC INDUSTRIAL ESTATE, TALOJA, DIST -  RAIGAD, PIN - 410208, MAHARSAHTRA, INDIA",,,,,,,,,no_match
1170,Asha Ganga Exports.,"Plot No. 310/B, G.I.D.C. Estate, Veraval-362269, Gujarat, India",,,,,,,,,no_match
1171,Indo Tech Ice And Cold Storage,"Plot No. U-10, Cuncolim Industrial Estate, Cuncolim Salcete, Goa-403703, India",GO1/MT/014/11,INDO TECH ICE AND COLD STORAGE,"Plot No.U-10,Cuncolim Industrial Estate Cuncolim Salcete, Goa 403703 Goa",indotechmarine@gmail.com,08322865841,9890177222,xx,"Frozen:Fish Wild(FROZEN INDIAN MACKEREL WHOLE,FROZEN SQUID WHOLE (FROZEN SQUID SEMINEEDLE WHOLE),FROZEN RIBBONFISH WHOLE,FROZEN CUTTLE FISH WHOLE,FROZEN HORSE MACKEREL WHOLE,FROZEN LEATHER SKIN WHOLE,FROZEN HERRING WHOLE,FROZEN REEF COD WHOLE,FROZEN INDIAN OIL SARDINE WHOLE,FROZEN INDIAN SARDINE HEADLESS & GUTTED,FROZEN CROAKER WHOLE,FROZEN SCAD WHOLE,FROZEN SHRIMP WHOLE(HEAD ON/ HEADLESS/ SHELL ON,FROZEN SHRIMP WHOLE(PUD/P&D/PVD TAIL ON))",name_only
1172,Sagar Feeds & Food Processing Industries,"Plot No. L-27, GIDC, Cuncolim Industrial Estate, Cuncolim, Goa- 403703, India",GO1/MT/015/12,SAGAR FEEDS & FOOD PROCESSING INDUSTRIES,"Plot No.L-27, Cuncolim Industrial Estate, Cuncolim, 403703 Goa",sagarffpi@gmail.com,0832-2866262,9225980593,Nil,"Frozen:Fish Wild(Indian Mackerel Whole ( Rastrelliger kanagurta),Indian Oil Sardine (Sardinella longiceps),Horse Mackerel ( Megalaspis cordyla))",name_only
1173,SIDDIQ SEA FOOD UNIT II,"All Weather Port Road, Bokhira, Porbandar-360575, Gujarat, India",,,,,,,,,no_match
1192,Ulka Sea Foods Pvt. Ltd.,"Plot No. M-34/2, 35, MIDC,Taloja, Dist. Raigad, Maharashtra-410208, India",,,,,,,,,no_match
1193,United Marine Products,"Plot No. L-28, Cuncolim, Industrial Estate, Cncolim, Salcete, Goa-403703, India",,,,,,,,,no_match
