name,company_name,country,region,city,address,postal,cfia_ref,website,primary_species,certifications,status,verified,verification_level,admin_notes,source_url,source_title,source_type,access_date,latitude,longitude,geocode_confidence,geocode_formatted
QUIN-SEA FISHERIES LIMITED (CFIA Ref #0171),QUIN-SEA FISHERIES LIMITED,Canada,Newfoundland and Labrador,OLD PERLICAN,50-70 MARINE DRIVE,A0A3G0,0171,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,47.6132462,-52.6884264,9,"Marine Drive, St. John's, NL A1A, Canada"
QUINLAN BROTHERS LIMITED (CFIA Ref #0098),QUINLAN BROTHERS LIMITED,Canada,Newfoundland and Labrador,OLD PERLICAN,73-79 MARINE DRIVE,A0A3G0,0098,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,47.6596836,-52.7220933,9,"Marine Drive, Torbay, NL A1K, Canada"
QUINLAN BROTHERS LIMITED (CFIA Ref #0130),QUINLAN BROTHERS LIMITED,Canada,Newfoundland and Labrador,BAY DE VERDE,6 WHARF RD,A0A1E0,0130,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,48.08319,-52.89805,8,"Bay de Verde, Newfoundland and Labrador, Canada"
NATURES SEA FARMS INC. (CFIA Ref #0082),NATURES SEA FARMS INC.,Canada,Newfoundland and Labrador,ST. ALBAN'S,5 WHARF LANE,A0H2E0,0082,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,47.8622956,-55.8369971,9,"Wharf Lane, St. Alban's, NL, Canada"
OCEAN CHOICE INTERNATIONAL L.P. (CFIA Ref #0046),OCEAN CHOICE INTERNATIONAL L.P.,Canada,Newfoundland and Labrador,SUMMERVILLE,#10 MAIN ROAD,-,0046,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,48.5489764,-53.4828585,10,"10 Main Road, Unincorporated Newfoundland, NL A0C, Canada"
AQUASHELL HOLDINGS COMPANY (CFIA Ref #2206),AQUASHELL HOLDINGS COMPANY,Canada,Nova Scotia,WALLACE,13915 ROUTE 6,B0K1Y0,2206,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.3895784,-63.2376273,9,"Route 6, Oyster Bed Bridge, PE C1E, Canada"
WOODS HARBOUR LOBSTER CO LTD (CFIA Ref #3136),WOODS HARBOUR LOBSTER CO LTD,Canada,Nova Scotia,WOODS HARBOUR,32-34 FERRY ROAD,B0W2E0,3136,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,43.5410325,-65.7359412,9,"Ferry Road, Central Woods Harbour, NS B0W, Canada"
TORNGAT FISH PRODUCERS CO-OP SOCIETY LIMITED (CFIA Ref #0124),TORNGAT FISH PRODUCERS CO-OP SOCIETY LIMITED,Canada,Newfoundland and Labrador,NAIN,10 CHURCH ROAD,A0P1L0,0124,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,48.6083637,-53.4058209,10,"10 Church Road, Keels, NL A0C, Canada"
"TORNGAT FISH PRODUCERS CO-OPERATIVE SOCIETY, LIMITED (MAKKOVIK) (CFIA Ref #0194)","TORNGAT FISH PRODUCERS CO-OPERATIVE SOCIETY, LIMITED (MAKKOVIK)",Canada,Newfoundland and Labrador,MAKKOVIK,140A MORAVIAN STREET,A0P1J0,0194,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,55.0888783,-59.1766023,9,"Moravian Street, Makkovik, NL, Canada"
WOOD-PICK ENTERPRISES LIMITED (CFIA Ref #1111),WOOD-PICK ENTERPRISES LIMITED,Canada,Newfoundland and Labrador,WAREHAM,9 SPURRELLS LANE,A0G4P0,1111,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,49.01659,-53.86479,9,"Newfoundland and Labrador, Canada"
BAY ENTERPRISES LTD (CFIA Ref #3519),BAY ENTERPRISES LTD,Canada,Nova Scotia,UPPER MALAGASH,2642 MALAGASH ROAD,B0K1E0,3519,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,45.7647971,-63.3510088,10,"2642 Malagash Road, Upper Malagash, NS B0K, Canada"
I. C. FISH SMOKERS LIMITED (CFIA Ref #3102),I. C. FISH SMOKERS LIMITED,Canada,Nova Scotia,LOWER WEST PUBNICO,1730 HWY 335,B0W2C0,3102,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,43.6293035,-65.8018928,10,"1730 Highway 335, Lower West Pubnico, NS B0W 2C0, Canada"
SCOTIA GARDEN SEAFOOD INCORPORATED (CFIA Ref #1434),SCOTIA GARDEN SEAFOOD INCORPORATED,Canada,Nova Scotia,YARMOUTH,112 WATER STREET,B5A4K5,1434,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,43.8398903,-66.1210882,9,"W. Laurence Sweeny Fisheries Museum, 112 Water Street, Yarmouth, NS B5A 1J9, Canada"
SAMBRO FISHERIES LIMITED (CFIA Ref #3017),SAMBRO FISHERIES LIMITED,Canada,Nova Scotia,SAMBRO,40 LENNY'S LANE,B3V1L5,3017,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,44.46685,-63.5987,7,"Sambro, Nova Scotia, Canada"
DUGUAY FISH PACKERS LTD. (CFIA Ref #1212),DUGUAY FISH PACKERS LTD.,Canada,New Brunswick,CAP-PELE,1062 CHEMIN BAS-CAP-PELE,E4N1K9,1212,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.2316498,-64.282054,8,"Chemin Bas-Cap-Pelé, Botsford Parish, NB E4N, Canada"
EASTERN SEA PRODUCTS LTD. (CFIA Ref #2411),EASTERN SEA PRODUCTS LTD.,Canada,New Brunswick,SCOUDOUC,11 ADDISON AVENUE,E4P3N3,2411,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.16684,-64.56545,9,"Scoudouc, New Brunswick, Canada"
ACADIAN FISH PROCESSORS LIMITED (CFIA Ref #1271),ACADIAN FISH PROCESSORS LIMITED,Canada,Nova Scotia,LOWER WEST PUBNICO,171 DENNIS POINT ROAD,B0W2C0,1271,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,43.6211622,-65.7905263,9,"Dennis Point Road, Lower West Pubnico, NS B0W, Canada"
EDMOND GAGNON LTD (CFIA Ref #0445),EDMOND GAGNON LTD,Canada,New Brunswick,BARACHOIS,9 QUAI DES ROBICHAUD RD,E4P8A4,0445,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.22815,-64.4478,9,"Barachois, New Brunswick, Canada"
OCEANS ALIVE SEAFOOD LIMITED (CFIA Ref #1338),OCEANS ALIVE SEAFOOD LIMITED,Canada,Nova Scotia,SHAG HARBOUR,39 PROSPECT POINT ROAD,B0W3B0,1338,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,43.4923916,-65.7188658,10,"39 Prospect Point Road, Shag Harbour, NS B0W, Canada"
ELPHEGE & NORBERT LEBLANC LTD. (CFIA Ref #2420),ELPHEGE & NORBERT LEBLANC LTD.,Canada,New Brunswick,PETIT-CAP,47 CHEMIN DU QUAI,E4N2E8,2420,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.192,-64.16097,9,"Petit-Cap, New Brunswick, Canada"
Deep Harbour Lobster Seafood Ltd. (CFIA Ref #1270),Deep Harbour Lobster Seafood Ltd.,Canada,New Brunswick,Dipper Harbour,65 Dipper Harbour Road,E5J1X3,1270,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,45.0924468,-66.4233146,9,"Dipper Harbour Road, Musquash Parish, NB E5J, Canada"
GAUDET & OUELLETTE LTD. (CFIA Ref #0238),GAUDET & OUELLETTE LTD.,Canada,New Brunswick,BAS-CAP-PELÉ,519 CHEMIN BAS-CAP-PELE,E4N3B1,0238,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.2311272,-64.2588336,9,"Chemin Bas-Cap-Pelé, Botsford Parish, NB E4N, Canada"
ICHIBOSHI L.P.C. LTD. (CFIA Ref #2563),ICHIBOSHI L.P.C. LTD.,Canada,New Brunswick,CARAQUET,24 RUE DU QUAI,E1W1B6,2563,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,48.0193319,-66.6845999,10,"24 Rue du Quai, Pointe-à-la-Croix, QC E3N 3L4, Canada"
LA FERME OSTRÉICOLE CHIASSON LTÉE (CFIA Ref #2527),LA FERME OSTRÉICOLE CHIASSON LTÉE,Canada,New Brunswick,LAMÉQUE,31 RUE DE L'ETANG,E8T1C2,2527,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,47.8089688,-64.6337614,10,"31 Rue de l'Étang, Lamèque, NB E8T, Canada"
FERME OSTRÉICOLE GAÉTAN DUGAS LTÉE (CFIA Ref #2540),FERME OSTRÉICOLE GAÉTAN DUGAS LTÉE,Canada,New Brunswick,CARAQUET,"675 BOUL, ST-PIERRE OUEST",E1W1A2,2540,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,47.7800239,-64.984778,8,"Boulevard Saint-Pierre Ouest, Caraquet, NB E1W, Canada"
POISSONNERIE LEGER FISHERIES LTEE/LTD. (CFIA Ref #2442),POISSONNERIE LEGER FISHERIES LTEE/LTD.,Canada,New Brunswick,TROIS-RUISSEAUX,38 CHEMIN DE LA CÔTE,E4N2V7,2442,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.20961,-64.21005,9,"Trois-Ruisseaux, New Brunswick, Canada"
BOLERO Transformation de Crustacés Inc. BOLERO Shellfish Processing Inc. (CFIA Ref #2510),BOLERO Transformation de Crustacés Inc. BOLERO Shellfish Processing Inc.,Canada,New Brunswick,Saint-Simon,1324 Route 335,E8P2B2,2510,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,47.7301032,-64.8483297,8,"Route 335, Town of Caraquet, NB, Canada"
PÉCHERIES STE-CÉCILE INC (CFIA Ref #2518),PÉCHERIES STE-CÉCILE INC,Canada,New Brunswick,SAINTE-CÉCILE,136 CHEMIN LACROIX,E8T2X2,2518,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.5001,-65.99878,1,"New Brunswick, Canada"
LESLIE LEGER & SONS LTD (CFIA Ref #2406),LESLIE LEGER & SONS LTD,Canada,New Brunswick,TROIS-RUISSEAUX,34 CHEMIN DE LA COTE,E4N2V7,2406,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.20961,-64.21005,9,"Trois-Ruisseaux, New Brunswick, Canada"
MCGRAW SEAFOOD (2008) INC. (CFIA Ref #2547),MCGRAW SEAFOOD (2008) INC.,Canada,New Brunswick,TRACADIE-SHEILA,3113 RUE PRINCIPALE,E1X1G5,2547,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,47.496803,-64.9125192,9,"Rue Principale, Tracadie-Sheila, NB E1X, Canada"
B.C.D. FISHERIES LIMITED (CFIA Ref #1459),B.C.D. FISHERIES LIMITED,Canada,Nova Scotia,LITTLE BROOK,22 LITTLE BROOK ROAD,B0W1Z0,1459,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,45.3049549,-63.3515445,10,"22 Little Brook Road, Hilden, NS, Canada"
BAKERS POINT FISHERIES LIMITED (CFIA Ref #0346),BAKERS POINT FISHERIES LIMITED,Canada,Nova Scotia,EAST JEDDORE,33 BAKER'S POINT ROAD,B0J1W0,0346,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,44.72883,-63.00065,9,"East Jeddore, Nova Scotia, Canada"
MISTY HARBOUR SEAFOOD (CFIA Ref #3293),MISTY HARBOUR SEAFOOD,Canada,New Brunswick,SAINT JOHN,2304 OCEAN WESTWAY,E2M5J4,3293,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,45.2275134,-66.1666116,10,"2304 Ocean Westway, City of Saint John, NB E2M, Canada"
BARRY GROUP INC. (CFIA Ref #2570),BARRY GROUP INC.,Canada,New Brunswick,LOWER NÉGUAC,764 RUE PRINCIPALE,E9G1N5,2570,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,47.24894,-65.07408,7,"Neguac, New Brunswick, Canada"
OCEAN PIER INC. (CFIA Ref #2448),OCEAN PIER INC.,Canada,New Brunswick,SCOUDOUC,20 PATTISON STREET,E4P3R4,2448,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.16684,-64.56545,9,"Scoudouc, New Brunswick, Canada"
M. LEBLANC FISHERIES LTD. (CFIA Ref #2403),M. LEBLANC FISHERIES LTD.,Canada,New Brunswick,PETIT-CAP,4 RUE BRUN,E4N2E4,2403,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.2146405,-64.2751916,9,"Rue Brun, Botsford Parish, NB E4N, Canada"
OVEN HEAD SALMON SMOKERS LTD (CFIA Ref #3028),OVEN HEAD SALMON SMOKERS LTD,Canada,New Brunswick,BETHEL,101 OVEN HEAD ROAD,E5C1S3,3028,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,45.1545353,-66.923356,8,"Oven Head Road, Saint Patrick Parish, NB, Canada"
PÉCHERIES BELLE-ILE FISHERIES LTÉE LTD (CFIA Ref #1209),PÉCHERIES BELLE-ILE FISHERIES LTÉE LTD,Canada,New Brunswick,SAINTE-MARIE-SAINT-RAPHAEL,4 RUE DU PORT,E8T1T4,1209,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,47.7814259,-64.5663331,9,"Rue du Port, île-de-Lamèque, NB, Canada"
PÉCHERIES ST-PAUL (1989) LTÉE./ST-PAUL FISHERIES (1989) LTD. (PLANT #2555) (CFIA Ref #2555),PÉCHERIES ST-PAUL (1989) LTÉE./ST-PAUL FISHERIES (1989) LTD. (PLANT #2555),Canada,New Brunswick,BAS-CARAQUET,2261 RUE INDUSTRIELLE,E1W5Z1,2555,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,47.8056696,-64.8521356,9,"Rue Industrielle, Town of Caraquet, NB E1W, Canada"
PHILIP OUELLETTE & SONS LTD (CFIA Ref #1213),PHILIP OUELLETTE & SONS LTD,Canada,New Brunswick,PETIT-CAP,44 CH DU QUAI,E4N2G5,1213,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.192,-64.16097,9,"Petit-Cap, New Brunswick, Canada"
POINT QUEEN FISHERIES LTD (CFIA Ref #3287),POINT QUEEN FISHERIES LTD,Canada,New Brunswick,LETETE,1207 ROUTE 172,E5C3S8,3287,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,45.0587176,-66.8806791,8,"Route 172, Saint George Parish, NB E5C, Canada"
PÉCHERIES ARSENEAU FISHERIES (CFIA Ref #2514),PÉCHERIES ARSENEAU FISHERIES,Canada,New Brunswick,NIGADOO,221 RUE PRINCIPALE,E8K3S8,2514,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,47.7427861,-65.7130015,9,"Rue Principale, Beresford Parish, NB E8K, Canada"
PRODUITS BELLE BAIE LTEE (CFIA Ref #0255),PRODUITS BELLE BAIE LTEE,Canada,New Brunswick,CARAQUET,10 RUE DU QUAI,E1W1B6,0255,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,47.7950933,-64.927608,9,"Rue du Quai, Caraquet, NB E1W, Canada"
FUMOIR LA FÉE DES GRÉVES (CFIA Ref #5964),FUMOIR LA FÉE DES GRÉVES,Canada,Quebec,QUÉBEC,1920 AVENUE JEAN-DE-CLERMONT,G1E3S3,5964,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.8473564,-71.2127003,10,"1920 Avenue Jean-De Clermont, Quebec, QC G1E 0P1, Canada"
ALIMENTS LUDA FOODS INC. (CFIA Ref #5093),ALIMENTS LUDA FOODS INC.,Canada,Quebec,POINTE-CLAIRE,6200 RTE TRANS-CANADA,H9R1B9,5093,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,48.2407498,-58.7338896,9,"Trans Canada Highway, Unincorporated Newfoundland, NL, Canada"
CRUSTACÉS BAIE-TRINITÉ INC. (CFIA Ref #5776),CRUSTACÉS BAIE-TRINITÉ INC.,Canada,Quebec,BAIE-TRINITÉ,"75, ROUTE 138",G0H1A0,5776,,,,approved,true,documentation_verified,CFIA export list entry. Species/by-products not verified; add only with explicit evidence.,https://apps.inspection.canada.ca/webapps/FishList/,CFIA Fish and Seafood Establishments (Export List),regulator,2026-02-06,46.6722726,-71.7577813,10,"75 Route 138, Cap-Santé, QC G0A 1L0, Canada"
