approval_no,name,company_name,country,region,city,address,town_region,latitude,longitude,geocode_confidence,geocode_formatted,primary_species,scope,expiry_date,status,verified,verification_level,admin_notes
1129,Hejazi Foodstuff Pvt. Ltd. (EIC #1129),Hejazi Foodstuff Pvt. Ltd.,India,Maharashtra,MAHARASHTRA,"PLOT NO. M-62 & M-62 PART, MIDC INDUSTRIAL   AREA,  TALOJA, DIST- RAIGAD-410208,   MAHARASHTRA, INDIA",MAHARASHTRA,20.0,78.0,9,"Arni, India",Fish,Fresh/Chilled Raw and Frozen(IF-Blast/Block) Raw Fish and Fishery Products (Including Aquaculture),03/10/2027,approved,true,documentation_verified,EIC FFP approved unit #1129. Scope: Fresh/Chilled Raw and Frozen(IF-Blast/Block) Raw Fish and Fishery Products (Including Aquaculture). Expiry: 03/10/2027.
1130,KARUNYA MARINE EXPORTS PVT. LTD. (EIC #1130),KARUNYA MARINE EXPORTS PVT. LTD.,India,Maharashtra,Ratnagiri,"Survey No.42, Hissa No. 1 & 2, Rahatagar, Peth Killa, Ratnagiri-415612, Maharashtra,  India",Maharashtra,19.5,76.0,1,"Mahārāshtra, India",Fish,"Packing of Fresh/ Chilled Fish & Fishery Products, Freezing of Raw Fish & Fishery Products (Block/IF) (Including Aquaculture)",23/10/2027,approved,true,documentation_verified,"EIC FFP approved unit #1130. Scope: Packing of Fresh/ Chilled Fish & Fishery Products, Freezing of Raw Fish & Fishery Products (Block/IF) (Including Aquaculture). Expiry: 23/10/2027."
1131,TEJAL SEA FOODS (EIC #1131),TEJAL SEA FOODS,India,Gujarat,JAWAR NAKA PORBANDAR,"SUPER GAS ROAD, JAWAR NAKA PORBANDAR-360575, GUJARAT, INDIA",GUJARAT,21.6422,69.6093,7,"360575, Gujarat, India",Fish,FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/BLAST-IF/IQF)(Excluding Aquaculture),18/05/2028,approved,true,documentation_verified,EIC FFP approved unit #1131. Scope: FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/BLAST-IF/IQF)(Excluding Aquaculture). Expiry: 18/05/2028.
1132,Vasai Frozen Foods. (EIC #1132),Vasai Frozen Foods.,India,Maharashtra,Mumbai,"Poman Village, Near Kaman, Vasai Bhiwandi Road, Tal-Vasai, Dist-Thane, Mumbai-401208, Maharashtra, India",Maharashtra,19.3547,72.9094,7,"401208, Mahārāshtra, India",Fish,Freezing of Raw Fish & Fishery Products (IF-Blast)(Including Aquaculture),16/10/2027,approved,true,documentation_verified,EIC FFP approved unit #1132. Scope: Freezing of Raw Fish & Fishery Products (IF-Blast)(Including Aquaculture). Expiry: 16/10/2027.
1133,Shree Datt Aquaculture Farms Pvt. Ltd. (EIC #1133),Shree Datt Aquaculture Farms Pvt. Ltd.,India,Gujarat,Gujarat,"At & Post Talodh, Bilimora Taluka, Gandevi, Dist. Navsari Piin-396321, Gujarat, India",Gujarat,20.4081,75.3017,7,"396321, Gujarat, India",Fish,"Packing of Fresh/Chilled Fish & Fishery Products, Freezing of Raw/Blanched Fish & Fishery Products (Block/IQF/Brine Freezing)",05/11/2027,approved,true,documentation_verified,"EIC FFP approved unit #1133. Scope: Packing of Fresh/Chilled Fish & Fishery Products, Freezing of Raw/Blanched Fish & Fishery Products (Block/IQF/Brine Freezing). Expiry: 05/11/2027."
1139,West Coast Frozen Foods Private Limited (EIC #1139),West Coast Frozen Foods Private Limited,India,Gujarat,Surat,"Plot No. 322,323,Village- Orma, Olpad , Surat-394540 ,Gujarat, India.",Gujarat,21.3299,72.6248,7,"394540, Gujarat, India",Fish,"Packing of Fresh/chilled Fish & Fishery Products, Freezing of Raw Fish & Fishery Products (Blast/Brine/ IQF/Block)",09/03/2028,approved,true,documentation_verified,"EIC FFP approved unit #1139. Scope: Packing of Fresh/chilled Fish & Fishery Products, Freezing of Raw Fish & Fishery Products (Blast/Brine/ IQF/Block). Expiry: 09/03/2028."
1142,KAN VICTUAL PVT. LTD. (EIC #1142),KAN VICTUAL PVT. LTD.,India,Gujarat,Porbandar,"R/S. No. 796, Paiki, All Weather Port Road, Bokhira, Porbandar, Gujarat-360575",Porbandar,21.64219,69.60929,6,"Porbandar, India",Surimi,Raw Frozen Surimi,12/03/2026,approved,true,documentation_verified,EIC FFP approved unit #1142. Scope: Raw Frozen Surimi. Expiry: 12/03/2026.
1148,Keshodwala Foods (Unit - II) (EIC #1148),Keshodwala Foods (Unit - II),India,Gujarat,Gujarat,"Plot No. 306, G.I.D.C Estate, Veraval, 362269, Gujarat, India",Gujarat,20.9077,70.36786,7,"Verāval, Jūnāgadh, India",Fish,FROZEN (BLOCK/IF-BLAST/IQF) RAW/BLANCHED/COOKED FISH AND FISHERY PRODUCTS (INCLUDEING AQUACULTURE),29/05/2027,approved,true,documentation_verified,EIC FFP approved unit #1148. Scope: FROZEN (BLOCK/IF-BLAST/IQF) RAW/BLANCHED/COOKED FISH AND FISHERY PRODUCTS (INCLUDEING AQUACULTURE). Expiry: 29/05/2027.
1150,New Faizan Foods (EIC #1150),New Faizan Foods,India,Gujarat,Veraval,"Plot No.301 G.I.D.C. Estate Behind Association Hall, Veraval
- 362269, Gujarat, India,",Gujarat,20.9077,70.36786,7,"Verāval, Jūnāgadh, India",Fish,FROZEN (IF-BLAST/BLOCK/IQF) RAW/BLANCHED FISH AND FISHERY PRODUCTS (EXCLUDING AQUACULTURE),21/05/2027,approved,true,documentation_verified,EIC FFP approved unit #1150. Scope: FROZEN (IF-BLAST/BLOCK/IQF) RAW/BLANCHED FISH AND FISHERY PRODUCTS (EXCLUDING AQUACULTURE). Expiry: 21/05/2027.
1153,SILVER STAR EXPORTS (EIC #1153),SILVER STAR EXPORTS,India,Gujarat,Porbandar,"Javar Village, Porbandar - 360575, Gujarat, India",Gujarat,21.6422,69.6093,7,"360575, Gujarat, India",Surimi,Freezing of Raw Fish & Fishery Produts (Block/IF/IQF) (Including Aquaculture) and Frozen Surimi,12/10/2027,approved,true,documentation_verified,EIC FFP approved unit #1153. Scope: Freezing of Raw Fish & Fishery Produts (Block/IF/IQF) (Including Aquaculture) and Frozen Surimi. Expiry: 12/10/2027.
1156,Sun Exports. (EIC #1156),Sun Exports.,India,Gujarat,Veraval,"Plot No. 1313, GIDC Estate, Veraval-362269, Gujarat.,",Veraval-362269,22.3901,71.6068,7,"362269, Gujarat, India",Cephalopods,"FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/BLAST/IF) CRUSTACEANS, CEPHALOPODS, NON-HISTAMINE & HISTAMINE",08/12/2027,approved,true,documentation_verified,"EIC FFP approved unit #1156. Scope: FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/BLAST/IF) CRUSTACEANS, CEPHALOPODS, NON-HISTAMINE & HISTAMINE. Expiry: 08/12/2027."
1158,NILESH SEA FOODS (EIC #1158),NILESH SEA FOODS,India,Gujarat,Porbandar,"Plot No.214,Vanana,G.I.D.C.Estate,Taluka Ranavav,Porbandar-360575,Gujarat,India",Gujarat,21.6422,69.6093,7,"360575, Gujarat, India",Fish,Freezing of Raw Fish and Fishery Products(Block/IF-Blast/IQF) (Excluding Aquaculture),29/11/2027,approved,true,documentation_verified,EIC FFP approved unit #1158. Scope: Freezing of Raw Fish and Fishery Products(Block/IF-Blast/IQF) (Excluding Aquaculture). Expiry: 29/11/2027.
1163,J. M. Marine Exports (EIC #1163),J. M. Marine Exports,India,Gujarat,Veraval,"R.S.No.1798/1, Paikey,s Near GIDC Udyog Nagar, Patan Road, Veraval-362269. Gujarat, India,",Veraval-362269. Gujarat,20.9101099,70.365279,3,"Veraval, Patan Veraval Taluka, India",Fish,FROZEN (BLOCK/IF-BLAST/IQF) RAW FISH AND FISHERY PRODUCTS (EXCLUDING AQUACULTURE),08/03/2026,approved,true,documentation_verified,EIC FFP approved unit #1163. Scope: FROZEN (BLOCK/IF-BLAST/IQF) RAW FISH AND FISHERY PRODUCTS (EXCLUDING AQUACULTURE). Expiry: 08/03/2026.
1164,"Pesca Marine Products Pvt.Ltd., (EIC #1164)","Pesca Marine Products Pvt.Ltd.,",India,Gujarat,Veraval,"Plot No. 407 / 410 , GIDC Estate, Veraval-362269, Gujarat-India.,",Veraval-362269,22.3901,71.6068,7,"362269, Gujarat, India",Fish,FROZEN (IF-BLAST) RAW FISH AND FISHERY PRODUCTS (EXCLUDING AQUACULTURE),02/03/2026,approved,true,documentation_verified,EIC FFP approved unit #1164. Scope: FROZEN (IF-BLAST) RAW FISH AND FISHERY PRODUCTS (EXCLUDING AQUACULTURE). Expiry: 02/03/2026.
1165,Sanchita Frozen Foods Pvt. Ltd. (EIC #1165),Sanchita Frozen Foods Pvt. Ltd.,India,Maharashtra,Maharashtra – 410208,"Plot No. M – 7A, MIDC Industrial Area, Taloja, Raigad District, Maharashtra – 410208, India",Maharashtra – 410208,19.3669,73.1758,7,"410208, Mahārāshtra, India",Fish,Fresh/Chilled Raw and Frozen Fish & Fishery Products and Frozen (Block/ IF-Blast/IQF)Raw/Blanched/Cooked Fish and Fishery Products (Including Aquaculture),06/04/2026,approved,true,documentation_verified,EIC FFP approved unit #1165. Scope: Fresh/Chilled Raw and Frozen Fish & Fishery Products and Frozen (Block/ IF-Blast/IQF)Raw/Blanched/Cooked Fish and Fishery Products (Including Aquacult.... Expiry: 06/04/2026.
1166,Amar Aquatic (A Unit of Amar Polyfils Pvt. Ltd.) (EIC #1166),Amar Aquatic (A Unit of Amar Polyfils Pvt. Ltd.),India,Gujarat,Porbandar,"Survey No. 62, Village Vanana, Porbandar-360550, Gujarat, India.",Gujarat,23.0,71.75,1,"Gujarat, India",Fish,Processing and Packing of Fish Collagen and Fish Gelatin For Human Consumption,21/08/2027,approved,true,documentation_verified,EIC FFP approved unit #1166. Scope: Processing and Packing of Fish Collagen and Fish Gelatin For Human Consumption. Expiry: 21/08/2027.
1168,"Dolphin Marine Foods & Processors (India) Pvt. Ltd., (EIC #1168)","Dolphin Marine Foods & Processors (India) Pvt. Ltd.,",India,Goa,MAHARSAHTRA,"PLOT No.M-13, MIDC INDUSTRIAL ESTATE, TALOJA, DIST -  RAIGAD, PIN - 410208, MAHARSAHTRA, INDIA",MAHARSAHTRA,15.33333,74.08333,1,"Goa, India",Fish,"PACKING OF FRESH/CHILLED FISH & FISHERY PRODUCTS, FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/IF-BLAST)",27/09/2027,approved,true,documentation_verified,"EIC FFP approved unit #1168. Scope: PACKING OF FRESH/CHILLED FISH & FISHERY PRODUCTS, FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/IF-BLAST). Expiry: 27/09/2027."
1170,Asha Ganga Exports. (EIC #1170),Asha Ganga Exports.,India,Gujarat,Veraval,"Plot No. 310/B, G.I.D.C. Estate, Veraval-362269, Gujarat, India",Gujarat,22.3901,71.6068,7,"362269, Gujarat, India",Fish,FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/IF-BLAST/IQF) (INCLUDING AQUACULTURE),29/11/2027,approved,true,documentation_verified,EIC FFP approved unit #1170. Scope: FREEZING OF RAW FISH & FISHERY PRODUCTS (BLOCK/IF-BLAST/IQF) (INCLUDING AQUACULTURE). Expiry: 29/11/2027.
1171,Indo Tech Ice And Cold Storage (EIC #1171),Indo Tech Ice And Cold Storage,India,Goa,Goa,"Plot No. U-10, Cuncolim Industrial Estate, Cuncolim Salcete, Goa-403703, India",Goa-403703,22.0,79.0,1,India,Fish,Freezing of Raw Fish & Fishery Products (Block/IF-Blast) (Excluding Aquaculture),19/11/2027,approved,true,documentation_verified,EIC FFP approved unit #1171. Scope: Freezing of Raw Fish & Fishery Products (Block/IF-Blast) (Excluding Aquaculture). Expiry: 19/11/2027.
1172,Sagar Feeds & Food Processing Industries (EIC #1172),Sagar Feeds & Food Processing Industries,India,Goa,Goa,"Plot No. L-27, GIDC, Cuncolim Industrial Estate, Cuncolim, Goa- 403703, India",Goa- 403703,15.1,74.0,7,"403703, Goa, India",Fish,Freezing of Raw Fish & Fishery Products (Block/ IF/Blast)  (Excluding Aquaculture),14/01/2028,approved,true,documentation_verified,EIC FFP approved unit #1172. Scope: Freezing of Raw Fish & Fishery Products (Block/ IF/Blast)  (Excluding Aquaculture). Expiry: 14/01/2028.
1173,SIDDIQ SEA FOOD UNIT II (EIC #1173),SIDDIQ SEA FOOD UNIT II,India,Gujarat,Porbandar,"All Weather Port Road, Bokhira, Porbandar-360575, Gujarat, India",Gujarat,21.6422,69.6093,7,"360575, Gujarat, India",Fish,Freezing of Raw Fish & Fishery Products (Blast-IF) (Excluding Aquaculture),04/02/2028,approved,true,documentation_verified,EIC FFP approved unit #1173. Scope: Freezing of Raw Fish & Fishery Products (Blast-IF) (Excluding Aquaculture). Expiry: 04/02/2028.
1192,Ulka Sea Foods Pvt. Ltd. (EIC #1192),Ulka Sea Foods Pvt. Ltd.,India,Maharashtra,Maharashtra,"Plot No. M-34/2, 35, MIDC,Taloja, Dist. Raigad, Maharashtra-410208, India",Maharashtra-410208,18.24229,73.43521,9,"Raigad District, Mahārāshtra, India",Surimi,Packing of Fresh / Chilled Raw Fish and Fishery Products and Frozen (Block/IQF*) Raw /Blanched/ Cooked Fish and Fishery Products (Including Aquaculture)  and Frozen Fish Meat Surimi,17/04/2026,approved,true,documentation_verified,EIC FFP approved unit #1192. Scope: Packing of Fresh / Chilled Raw Fish and Fishery Products and Frozen (Block/IQF*) Raw /Blanched/ Cooked Fish and Fishery Products (Including Aquacultur.... Expiry: 17/04/2026.
1193,United Marine Products (EIC #1193),United Marine Products,India,Goa,Goa,"Plot No. L-28, Cuncolim, Industrial Estate, Cncolim, Salcete, Goa-403703, India",Goa-403703,22.0,79.0,1,India,Fish,"Processing of Steam Dried Fish Meal, Fish Oil & Fish Soluble paste (Unfit for Human Consumption)",15/04/2026,approved,true,documentation_verified,"EIC FFP approved unit #1193. Scope: Processing of Steam Dried Fish Meal, Fish Oil & Fish Soluble paste (Unfit for Human Consumption). Expiry: 15/04/2026."
1195,WEST COAST FOODS (EIC #1195),WEST COAST FOODS,India,Odisha,VANANA PORBANDAR,"PLOT NO. 34, GIDC, VANANA PORBANDAR-360575, INDIA",VANANA PORBANDAR-360575,21.6422,69.6093,7,"360575, Gujarat, India",Fish,"FRESH/CHILLED RAW,FROZEN (BLOCK/IQF/IF) RAW FISH AND FISHERY PRODUCTS. (EXCLUDING AQUACULTURE)",08/05/2027,approved,true,documentation_verified,"EIC FFP approved unit #1195. Scope: FRESH/CHILLED RAW,FROZEN (BLOCK/IQF/IF) RAW FISH AND FISHERY PRODUCTS. (EXCLUDING AQUACULTURE). Expiry: 08/05/2027."
1196,KAN VICTUAL PVT. LTD. UNIT-II (EIC #1196),KAN VICTUAL PVT. LTD. UNIT-II,India,Gujarat,Porbandar,"R. S. No. 796, Paiki 1, All Weather Port Road, Bokhira, Porbandar-360575 , Gujarat, India",Gujarat,23.0,71.75,1,"Gujarat, India",Fish,Frozen (Block/IF-Blast/IQF) Raw Fish and Fishery Products (Excluding Aquaculture),21/07/2027,approved,true,documentation_verified,EIC FFP approved unit #1196. Scope: Frozen (Block/IF-Blast/IQF) Raw Fish and Fishery Products (Excluding Aquaculture). Expiry: 21/07/2027.
1197,SONIA FISHERIES PVT. LTD. (EIC #1197),SONIA FISHERIES PVT. LTD.,India,Maharashtra,Maharashtra,"Plot No.M-39,MIDC, Taloja, District-Raigad , Maharashtra - 410208, India",Maharashtra - 410208,19.3669,73.1758,7,"410208, Mahārāshtra, India",Fish,"Packing of Fresh/ Chilled Fish & Fishery Products, Freezing of Raw Fish & Fishery Products (Block/IF-Blast/IQF)",17/08/2027,approved,true,documentation_verified,"EIC FFP approved unit #1197. Scope: Packing of Fresh/ Chilled Fish & Fishery Products, Freezing of Raw Fish & Fishery Products (Block/IF-Blast/IQF). Expiry: 17/08/2027."
1198,"QUALITY EXPORTS, UNIT-II (EIC #1198)","QUALITY EXPORTS, UNIT-II",India,Goa,Goa,"Plot No. SB 64, 65, 66 & 67, Cuncolim Industrial Estate, Cuncolim, Goa -403703, India",Goa -403703,15.1773,73.99392,7,"Cuncolim, South Goa, India",Crab|Lobster|Shrimp,"Freezing of Raw Fish & Fishery Products(IF-Blast)- Fishes(Histamine & Non-Histamine forming), Crustaceans -Shrimps, Lobsters, Crabs (Sea caught) & Cephalapods",16/08/2027,approved,true,documentation_verified,"EIC FFP approved unit #1198. Scope: Freezing of Raw Fish & Fishery Products(IF-Blast)- Fishes(Histamine & Non-Histamine forming), Crustaceans -Shrimps, Lobsters, Crabs (Sea caught) & Cep.... Expiry: 16/08/2027."
1199,AMAR STERILISED FISH MEAL (EIC #1199),AMAR STERILISED FISH MEAL,India,Gujarat,Porbandar,"Jawar Naka, Porbandar-360579, Gujarat, India",Gujarat,21.7316,69.6354,7,"360579, Gujarat, India",Fish,Processing and Packing of Steam Sterilized Dried Fish Meal Powder and fish oil (Unfit for Human Consumption),19/08/2027,approved,true,documentation_verified,EIC FFP approved unit #1199. Scope: Processing and Packing of Steam Sterilized Dried Fish Meal Powder and fish oil (Unfit for Human Consumption). Expiry: 19/08/2027.
1201,Keval Exports (EIC #1201),Keval Exports,India,Gujarat,Gujarat,"GMB Plot No. 24/26, In B Port Area, Veraval â?? 362267, Gujarat, India",Gujarat,20.9077,70.36786,7,"Verāval, Jūnāgadh, India",Fish,FREEZING OF RAW FISH & FISHERY PRODUCTS (BLAST-IF) (EXCLUDING AQUACULTURE),15/09/2027,approved,true,documentation_verified,EIC FFP approved unit #1201. Scope: FREEZING OF RAW FISH & FISHERY PRODUCTS (BLAST-IF) (EXCLUDING AQUACULTURE). Expiry: 15/09/2027.
1202,"Forstar Frozen Foods Pvt. Ltd. Unit-2, (EIC #1202)","Forstar Frozen Foods Pvt. Ltd. Unit-2,",India,Maharashtra,MAHARASHTRA,"Plot No.M-53 / 1, MIDC, INDUSTRIAL AREA, TALOJA,   DIST - RAIGAD -   410 208, MAHARASHTRA, INDIA",MAHARASHTRA,18.24229,73.43521,9,"Raigad District, Mahārāshtra, India",Fish,"PACKING OF FRESH / CHILLED FISH & FISHERY PRODUCTS, FREEZING OF RAW / BLANCHED / COOKED FISH & FISHERY PRODUCTS ( BLOCK/IF/IQF) ( INCLUDING AQUACULTURE ) PROCESSING AND PACKING OF VALUE ADDED FISH & FISHERY PRODUCTS IN READY TO EAT IN RETORT POUCHES, FROZEN COOKED MEALS, FROZEN RAW MARINATED, FROZEN RAW/FLASH FRIED/FRIED, BATTERED AND BREADED AND BREADED PRODUCTS AND SEA FOOD PICKLES",06/10/2027,approved,true,documentation_verified,"EIC FFP approved unit #1202. Scope: PACKING OF FRESH / CHILLED FISH & FISHERY PRODUCTS, FREEZING OF RAW / BLANCHED / COOKED FISH & FISHERY PRODUCTS ( BLOCK/IF/IQF) ( INCLUDING AQUACULTUR.... Expiry: 06/10/2027."
1205,Nanak Nutritions Food (Taloja) Pvt. Ltd. (EIC #1205),Nanak Nutritions Food (Taloja) Pvt. Ltd.,India,Maharashtra,Maharashtra,"Plot No. M-57,MIDC,Taloja,Dist.- Raigad,Maharashtra-410208,India",Maharashtra-410208,19.3669,73.1758,7,"410208, Mahārāshtra, India",Fish,"Packing of Fresh /Chilled Fish & Fishery Products,Freezing of Raw Fish & Fishery Products (Block/Blast-IF/IQF)",21/10/2027,approved,true,documentation_verified,"EIC FFP approved unit #1205. Scope: Packing of Fresh /Chilled Fish & Fishery Products,Freezing of Raw Fish & Fishery Products (Block/Blast-IF/IQF). Expiry: 21/10/2027."
1206,Rich Marine Export (EIC #1206),Rich Marine Export,India,Gujarat,Veraval,"Plot No. 904, G.I.D.C. Estate, Veraval-362269, Gujarat, India",Gujarat,22.3901,71.6068,7,"362269, Gujarat, India",Fish,Freezing of Blanched/Raw Fish & Fishery Products (Block/Blast-IF/IQF)  ( Excluding Aquaculture.,19/10/2027,approved,true,documentation_verified,EIC FFP approved unit #1206. Scope: Freezing of Blanched/Raw Fish & Fishery Products (Block/Blast-IF/IQF)  ( Excluding Aquaculture.. Expiry: 19/10/2027.
1207,AKSHA FISH MEAL & OIL (EIC #1207),AKSHA FISH MEAL & OIL,India,Odisha,Gujarart,"Survey No- 63, N.H 8E, Village- Gosa, Porbandar, Gujarart,India",Gujarart,22.0,79.0,1,India,Fish,Processing and Packing Of Steam Dried Fish Meal (Unfit For Human Consumption),05/11/2027,approved,true,documentation_verified,EIC FFP approved unit #1207. Scope: Processing and Packing Of Steam Dried Fish Meal (Unfit For Human Consumption). Expiry: 05/11/2027.
